standID;area;year;period;rotation;code;name1;name2;name3;amount;type;unitPrice;price;price3;price4;price5
optiStand;1;0;0;1;112;firstThinning;pulp;NorwaySpruce;54.096;1;17.64;954.2531;;;
optiStand;1;0;0;1;312;firstThinning;saw;NorwaySpruce;169.6338;1;55.56;9424.8561;;;
optiStand;1;15;3;1;122;thinning;pulp;NorwaySpruce;26.955;1;22.47;605.6797;;;
optiStand;1;15;3;1;322;thinning;saw;NorwaySpruce;93.282;1;66.52;6205.1172;;;
optiStand;1;30;6;1;122;thinning;pulp;NorwaySpruce;28.398;1;22.47;638.1028;;;
optiStand;1;30;6;1;322;thinning;saw;NorwaySpruce;96.7941;1;66.52;6438.7451;;;
optiStand;1;44;9;1;122;thinning;pulp;NorwaySpruce;24.3457;1;22.47;547.0476;;;
optiStand;1;44;9;1;322;thinning;saw;NorwaySpruce;77.5936;1;66.52;5161.5274;;;
optiStand;1;58;12;1;122;thinning;pulp;NorwaySpruce;28.9974;1;22.47;651.572;;;
optiStand;1;58;12;1;322;thinning;saw;NorwaySpruce;61.3078;1;66.52;4078.1931;;;
optiStand;1;73;15;1;122;thinning;pulp;NorwaySpruce;22.1805;1;22.47;498.3947;;;
optiStand;1;73;15;1;322;thinning;saw;NorwaySpruce;91.8527;1;66.52;6110.0423;;;
optiStand;1;87;18;1;122;thinning;pulp;NorwaySpruce;21.4773;1;22.47;482.5953;;;
optiStand;1;87;18;1;322;thinning;saw;NorwaySpruce;97.0888;1;66.52;6458.3466;;;
optiStand;1;100;20;1;122;thinning;pulp;NorwaySpruce;24.7183;1;22.47;555.4194;;;
optiStand;1;100;20;1;322;thinning;saw;NorwaySpruce;79.9142;1;66.52;5315.8898;;;
optiStand;1;114;20;1;122;thinning;pulp;NorwaySpruce;27.4584;1;22.47;616.9909;;;
optiStand;1;114;20;1;322;thinning;saw;NorwaySpruce;80.4333;1;66.52;5350.4221;;;
