standID;area;year;period;rotation;code;name1;name2;name3;amount;type;unitPrice;price;price3;price4;price5
optiStand;1;0;0;1;132;finalCut;pulp;NorwaySpruce;94.6468;1;26.83;2539.3744;;;
optiStand;1;0;0;1;332;finalCut;saw;NorwaySpruce;266.94;1;76.39;20391.549;;;
optiStand;1;1;1;2;22;regeneration;planting;spruceSeedling;2000;-1;0.24;480;;;
optiStand;1;1;1;2;27;regeneration;;spruceSeedingWork;2000;-1;0.2;400;;;
optiStand;1;1;1;2;44;regeneration;;ditchMounding;1;-1;521.8;521.8;;;
optiStand;1;1;1;2;50;;;drainage;1;-1;401.6;401.6;;;
optiStand;1;5;1;2;10;EarlyCleaning;;;3.7689;-1;35;131.9114;;;
optiStand;1;30;6;2;111;firstThinning;pulp;ScotsPine;0.1174;1;17.1;2.0078;;;
optiStand;1;30;6;2;112;firstThinning;pulp;NorwaySpruce;32.8654;1;17.64;579.7457;;;
optiStand;1;30;6;2;312;firstThinning;saw;NorwaySpruce;2.4663;1;55.56;137.0295;;;
optiStand;1;30;6;2;113;firstThinning;pulp;SilverBirch;0.4235;1;16.86;7.14;;;
optiStand;1;30;6;2;114;firstThinning;pulp;PubescentBirch;2.94;1;16.86;49.5692;;;
optiStand;1;30;6;2;119;firstThinning;pulp;OtherDeciduous;0.0095;1;16.86;0.1599;;;
optiStand;1;35;7;2;121;thinning;pulp;ScotsPine;0.0515;1;22.03;1.135;;;
optiStand;1;35;7;2;122;thinning;pulp;NorwaySpruce;20.3606;1;22.47;457.5018;;;
optiStand;1;35;7;2;322;thinning;saw;NorwaySpruce;21.8552;1;66.52;1453.8076;;;
optiStand;1;35;7;2;123;thinning;pulp;SilverBirch;0.4264;1;21.44;9.1419;;;
optiStand;1;35;7;2;124;thinning;pulp;PubescentBirch;5.6366;1;21.44;120.8489;;;
optiStand;1;35;7;2;129;thinning;pulp;OtherDeciduous;0.0054;1;16.86;0.0915;;;
optiStand;1;40;8;2;121;thinning;pulp;ScotsPine;0.0244;1;22.03;0.5377;;;
optiStand;1;40;8;2;122;thinning;pulp;NorwaySpruce;18.3342;1;22.47;411.9692;;;
optiStand;1;40;8;2;322;thinning;saw;NorwaySpruce;28.1222;1;66.52;1870.6866;;;
optiStand;1;40;8;2;123;thinning;pulp;SilverBirch;0.6807;1;21.44;14.5947;;;
optiStand;1;40;8;2;124;thinning;pulp;PubescentBirch;7.0208;1;21.44;150.5254;;;
optiStand;1;45;9;2;122;thinning;pulp;NorwaySpruce;15.0475;1;22.47;338.1183;;;
optiStand;1;45;9;2;322;thinning;saw;NorwaySpruce;39.0642;1;66.52;2598.5513;;;
optiStand;1;45;9;2;123;thinning;pulp;SilverBirch;0.5136;1;21.44;11.0121;;;
optiStand;1;45;9;2;124;thinning;pulp;PubescentBirch;5.6055;1;21.44;120.183;;;
optiStand;1;52;11;2;122;thinning;pulp;NorwaySpruce;13.4616;1;22.47;302.4815;;;
optiStand;1;52;11;2;322;thinning;saw;NorwaySpruce;48.8978;1;66.52;3252.6836;;;
optiStand;1;52;11;2;123;thinning;pulp;SilverBirch;0.5734;1;21.44;12.2941;;;
optiStand;1;52;11;2;124;thinning;pulp;PubescentBirch;4.314;1;21.44;92.4918;;;
optiStand;1;65;13;2;132;finalCut;pulp;NorwaySpruce;67.0914;1;26.83;1800.0621;;;
optiStand;1;65;13;2;332;finalCut;saw;NorwaySpruce;413.4827;1;76.39;31585.9453;;;
optiStand;1;65;13;2;133;finalCut;pulp;SilverBirch;3.3668;1;24.17;81.3754;;;
optiStand;1;65;13;2;134;finalCut;pulp;PubescentBirch;17.1462;1;24.17;414.4226;;;
