standID;area;year;period;rotation;code;name1;name2;name3;amount;type;unitPrice;price;price3;price4;price5
optiStand;1;0;0;1;132;finalCut;pulp;NorwaySpruce;108.7336;1;26.83;2917.322;;;
optiStand;1;0;0;1;332;finalCut;saw;NorwaySpruce;346.8736;1;76.39;26497.6738;;;
optiStand;1;1;1;2;22;regeneration;planting;spruceSeedling;2000;-1;0.24;480;;;
optiStand;1;1;1;2;27;regeneration;;spruceSeedingWork;2000;-1;0.2;400;;;
optiStand;1;1;1;2;44;regeneration;;ditchMounding;1;-1;521.8;521.8;;;
optiStand;1;1;1;2;50;;;drainage;1;-1;401.6;401.6;;;
optiStand;1;4;1;2;10;EarlyCleaning;;;3.6178;-1;35;126.6232;;;
optiStand;1;27;6;2;111;firstThinning;pulp;ScotsPine;0.0424;1;17.1;0.7243;;;
optiStand;1;27;6;2;112;firstThinning;pulp;NorwaySpruce;32.1607;1;17.64;567.3146;;;
optiStand;1;27;6;2;312;firstThinning;saw;NorwaySpruce;2.5349;1;55.56;140.8387;;;
optiStand;1;27;6;2;113;firstThinning;pulp;SilverBirch;0.669;1;16.86;11.2785;;;
optiStand;1;27;6;2;114;firstThinning;pulp;PubescentBirch;3.6144;1;16.86;60.9394;;;
optiStand;1;27;6;2;116;firstThinning;pulp;GreyAlder;0.0977;1;16.86;1.6476;;;
optiStand;1;27;6;2;119;firstThinning;pulp;OtherDeciduous;0.0133;1;16.86;0.2234;;;
optiStand;1;32;7;2;121;thinning;pulp;ScotsPine;0.0148;1;22.03;0.3254;;;
optiStand;1;32;7;2;122;thinning;pulp;NorwaySpruce;21.1691;1;22.47;475.6707;;;
optiStand;1;32;7;2;322;thinning;saw;NorwaySpruce;23.8154;1;66.52;1584.1995;;;
optiStand;1;32;7;2;123;thinning;pulp;SilverBirch;0.4529;1;21.44;9.7108;;;
optiStand;1;32;7;2;124;thinning;pulp;PubescentBirch;5.6094;1;21.44;120.2649;;;
optiStand;1;32;7;2;126;thinning;pulp;GreyAlder;0.0998;1;16.86;1.6827;;;
optiStand;1;32;7;2;129;thinning;pulp;OtherDeciduous;0.0092;1;16.86;0.1543;;;
optiStand;1;37;8;2;122;thinning;pulp;NorwaySpruce;19.6383;1;22.47;441.2725;;;
optiStand;1;37;8;2;322;thinning;saw;NorwaySpruce;34.9853;1;66.52;2327.2229;;;
optiStand;1;37;8;2;123;thinning;pulp;SilverBirch;0.4731;1;21.44;10.1435;;;
optiStand;1;37;8;2;124;thinning;pulp;PubescentBirch;4.5496;1;21.44;97.544;;;
optiStand;1;37;8;2;126;thinning;pulp;GreyAlder;0.1084;1;16.86;1.8279;;;
optiStand;1;42;9;2;122;thinning;pulp;NorwaySpruce;18.8991;1;22.47;424.6637;;;
optiStand;1;42;9;2;322;thinning;saw;NorwaySpruce;40.8138;1;66.52;2714.9354;;;
optiStand;1;42;9;2;123;thinning;pulp;SilverBirch;0.5975;1;21.44;12.8094;;;
optiStand;1;42;9;2;124;thinning;pulp;PubescentBirch;5.1314;1;21.44;110.0163;;;
optiStand;1;42;9;2;126;thinning;pulp;GreyAlder;0.1658;1;16.86;2.7954;;;
optiStand;1;47;10;2;122;thinning;pulp;NorwaySpruce;13.5073;1;22.47;303.5083;;;
optiStand;1;47;10;2;322;thinning;saw;NorwaySpruce;49.0751;1;66.52;3264.4752;;;
optiStand;1;47;10;2;123;thinning;pulp;SilverBirch;0.9998;1;21.44;21.436;;;
optiStand;1;47;10;2;124;thinning;pulp;PubescentBirch;6.8009;1;21.44;145.8116;;;
optiStand;1;47;10;2;126;thinning;pulp;GreyAlder;0.1222;1;16.86;2.0596;;;
optiStand;1;52;11;2;122;thinning;pulp;NorwaySpruce;12.8477;1;22.47;288.687;;;
optiStand;1;52;11;2;322;thinning;saw;NorwaySpruce;52.3834;1;66.52;3484.5421;;;
optiStand;1;52;11;2;123;thinning;pulp;SilverBirch;1.8311;1;21.44;39.2582;;;
optiStand;1;52;11;2;124;thinning;pulp;PubescentBirch;8.0909;1;21.44;173.4684;;;
optiStand;1;52;11;2;126;thinning;pulp;GreyAlder;0.1375;1;16.86;2.318;;;
optiStand;1;65;13;2;132;finalCut;pulp;NorwaySpruce;59.3877;1;26.83;1593.3722;;;
optiStand;1;65;13;2;332;finalCut;saw;NorwaySpruce;494.0758;1;76.39;37742.4505;;;
optiStand;1;65;13;2;133;finalCut;pulp;SilverBirch;2.161;1;24.17;52.2323;;;
optiStand;1;65;13;2;134;finalCut;pulp;PubescentBirch;1.9182;1;24.17;46.3618;;;
