standID;area;year;period;rotation;code;name1;name2;name3;amount;type;unitPrice;price;price3;price4;price5
optiStand;1;0;0;1;132;finalCut;pulp;NorwaySpruce;120.8116;1;28.29;3417.7605;;;
optiStand;1;0;0;1;332;finalCut;saw;NorwaySpruce;348.2831;1;73.66;25654.5308;;;
optiStand;1;1;1;2;22;regeneration;planting;spruceSeedling;2000;-1;0.21;420;;;
optiStand;1;1;1;2;27;regeneration;;spruceSeedingWork;2000;-1;0.2;400;;;
optiStand;1;1;1;2;44;regeneration;;ditchMounding;1;-1;428.5;428.5;;;
optiStand;1;1;1;2;50;;;drainage;1;-1;428.5;428.5;;;
optiStand;1;6;2;2;10;EarlyCleaning;;;3.8845;-1;35;135.9575;;;
optiStand;1;24;5;2;50;;;drainage;1;-1;428.5;428.5;;;
optiStand;1;26;6;2;112;firstThinning;pulp;NorwaySpruce;26.9637;1;17.94;483.7282;;;
optiStand;1;26;6;2;113;firstThinning;pulp;SilverBirch;0.0647;1;16.63;1.0761;;;
optiStand;1;26;6;2;114;firstThinning;pulp;PubescentBirch;0.3174;1;16.63;5.2789;;;
optiStand;1;31;7;2;121;thinning;pulp;ScotsPine;0.0389;1;22.86;0.8886;;;
optiStand;1;31;7;2;122;thinning;pulp;NorwaySpruce;29.7222;1;23.2;689.5543;;;
optiStand;1;31;7;2;322;thinning;saw;NorwaySpruce;4.7242;1;61.99;292.8512;;;
optiStand;1;31;7;2;123;thinning;pulp;SilverBirch;0.09;1;21.7;1.9533;;;
optiStand;1;31;7;2;124;thinning;pulp;PubescentBirch;1.5115;1;21.7;32.8;;;
optiStand;1;31;7;2;126;thinning;pulp;GreyAlder;0.0542;1;16.63;0.9013;;;
optiStand;1;31;7;2;129;thinning;pulp;OtherDeciduous;0.0068;1;16.63;0.1127;;;
optiStand;1;37;8;2;122;thinning;pulp;NorwaySpruce;20.126;1;23.2;466.9229;;;
optiStand;1;37;8;2;322;thinning;saw;NorwaySpruce;20.6565;1;61.99;1280.4974;;;
optiStand;1;37;8;2;123;thinning;pulp;SilverBirch;0.2428;1;21.7;5.2685;;;
optiStand;1;37;8;2;124;thinning;pulp;PubescentBirch;3.0403;1;21.7;65.9754;;;
optiStand;1;37;8;2;126;thinning;pulp;GreyAlder;0.0706;1;16.63;1.1741;;;
optiStand;1;37;8;2;129;thinning;pulp;OtherDeciduous;0.0046;1;16.63;0.0764;;;
optiStand;1;52;11;2;132;finalCut;pulp;NorwaySpruce;99.9035;1;28.29;2826.2691;;;
optiStand;1;52;11;2;332;finalCut;saw;NorwaySpruce;280.1102;1;73.66;20632.9205;;;
optiStand;1;52;11;2;133;finalCut;pulp;SilverBirch;0.6308;1;25.83;16.2942;;;
optiStand;1;52;11;2;134;finalCut;pulp;PubescentBirch;3.3146;1;25.83;85.6169;;;
optiStand;1;52;11;2;136;finalCut;pulp;GreyAlder;0.0563;1;16.63;0.9355;;;
